pump_id,measurement_point,baseline_mms,alert_threshold_mms,alarm_threshold_mms,trip_threshold_mms,standard,baseline_date
P-05,Non-Drive End Horizontal,2.01,3.01,5.02,8.04,ISO 10816-7,2025-01-15
P-05,Non-Drive End Vertical,1.7,2.55,4.25,6.8,ISO 10816-7,2025-01-15
P-05,Non-Drive End Axial,3.93,5.9,9.83,15.72,ISO 10816-7,2025-01-15
P-06,Drive End Horizontal,1.65,2.47,4.12,6.6,ISO 10816-7,2025-01-15
P-06,Drive End Vertical,1.53,2.29,3.83,6.12,ISO 10816-7,2025-01-15
P-06,Drive End Axial,2.04,3.06,5.1,8.16,ISO 10816-7,2025-01-15
P-06,Non-Drive End Horizontal,3.55,5.32,8.88,14.2,ISO 10816-7,2025-01-15
P-06,Non-Drive End Vertical,1.97,2.96,4.92,7.88,ISO 10816-7,2025-01-15
P-06,Non-Drive End Axial,1.76,2.64,4.4,7.04,ISO 10816-7,2025-01-15
P-07,Drive End Horizontal,2.02,3.03,5.05,8.08,ISO 10816-7,2025-01-15
P-07,Drive End Vertical,2.98,4.47,7.45,11.92,ISO 10816-7,2025-01-15
P-07,Drive End Axial,2.82,4.23,7.05,11.28,ISO 10816-7,2025-01-15
P-07,Non-Drive End Horizontal,3.65,5.47,9.12,14.6,ISO 10816-7,2025-01-15
P-07,Non-Drive End Vertical,3.4,5.1,8.5,13.6,ISO 10816-7,2025-01-15
P-07,Non-Drive End Axial,2.28,3.42,5.7,9.12,ISO 10816-7,2025-01-15
P-08,Drive End Horizontal,2.64,3.96,6.6,10.56,ISO 10816-7,2025-01-15
P-08,Drive End Vertical,1.88,2.82,4.7,7.52,ISO 10816-7,2025-01-15
P-08,Drive End Axial,2.76,4.14,6.9,11.04,ISO 10816-7,2025-01-15
P-08,Non-Drive End Horizontal,3.79,5.69,9.47,15.16,ISO 10816-7,2025-01-15
P-08,Non-Drive End Vertical,2.05,3.07,5.12,8.2,ISO 10816-7,2025-01-15
P-08,Non-Drive End Axial,2.41,3.62,6.03,9.64,ISO 10816-7,2025-01-15
P-09,Drive End Horizontal,3.94,5.91,9.85,15.76,ISO 10816-7,2025-01-15
P-09,Drive End Vertical,3.67,5.5,9.18,14.68,ISO 10816-7,2025-01-15
P-09,Drive End Axial,2.78,4.17,6.95,11.12,ISO 10816-7,2025-01-15
P-09,Non-Drive End Horizontal,3.45,5.18,8.62,13.8,ISO 10816-7,2025-01-15
P-09,Non-Drive End Vertical,1.97,2.96,4.92,7.88,ISO 10816-7,2025-01-15
P-09,Non-Drive End Axial,2.19,3.29,5.47,8.76,ISO 10816-7,2025-01-15
P-10,Drive End Horizontal,1.91,2.86,4.77,7.64,ISO 10816-7,2025-01-15
P-10,Drive End Vertical,2.27,3.41,5.67,9.08,ISO 10816-7,2025-01-15
P-10,Drive End Axial,3.67,5.5,9.18,14.68,ISO 10816-7,2025-01-15
P-10,Non-Drive End Horizontal,3.12,4.68,7.8,12.48,ISO 10816-7,2025-01-15
P-10,Non-Drive End Vertical,1.87,2.81,4.68,7.48,ISO 10816-7,2025-01-15
P-10,Non-Drive End Axial,3.69,5.54,9.22,14.76,ISO 10816-7,2025-01-15
P-11,Drive End Horizontal,3.36,5.04,8.4,13.44,ISO 10816-7,2025-01-15
P-11,Drive End Vertical,2.1,3.15,5.25,8.4,ISO 10816-7,2025-01-15
P-11,Drive End Axial,3.74,5.61,9.35,14.96,ISO 10816-7,2025-01-15
P-11,Non-Drive End Horizontal,1.97,2.96,4.92,7.88,ISO 10816-7,2025-01-15
P-11,Non-Drive End Vertical,1.57,2.35,3.93,6.28,ISO 10816-7,2025-01-15
P-11,Non-Drive End Axial,3.15,4.72,7.88,12.6,ISO 10816-7,2025-01-15
P-12,Drive End Horizontal,2.63,3.94,6.57,10.52,ISO 10816-7,2025-01-15
P-12,Drive End Vertical,2.16,3.24,5.4,8.64,ISO 10816-7,2025-01-15
P-12,Drive End Axial,3.82,5.73,9.55,15.28,ISO 10816-7,2025-01-15
P-12,Non-Drive End Horizontal,1.71,2.56,4.28,6.84,ISO 10816-7,2025-01-15
P-12,Non-Drive End Vertical,2.58,3.87,6.45,10.32,ISO 10816-7,2025-01-15
P-12,Non-Drive End Axial,1.88,2.82,4.7,7.52,ISO 10816-7,2025-01-15
