pump_id,date,status,load_pct,assigned_process,run_hours_cumulative
P-01,2025-06-09,Running,78.5,Process C,49.8
P-02,2025-06-09,Running,73.8,Process A,44.1
P-03,2025-06-09,Running,96.8,Process A,24.3
P-04,2025-06-09,Standby,0,Process A,0
P-05,2025-06-09,Running,73.7,Process A,46.1
P-06,2025-06-09,Running,63.9,Process C,55.6
P-07,2025-06-09,Running,72.0,Process C,24.2
P-08,2025-06-09,Running,85.9,Process C,61.2
P-09,2025-06-09,Standby,0,Process C,0
P-10,2025-06-09,Running,67.0,Process A,35.9
P-11,2025-06-09,Running,78.5,Process B,52.0
P-12,2025-06-09,Running,86.3,Process B,19.6
P-01,2025-06-10,Running,67.9,Process C,41.2
P-02,2025-06-10,Running,68.6,Process B,58.6
P-03,2025-06-10,Running,62.5,Process A,61.2
P-04,2025-06-10,Running,74.6,Process A,42.7
P-05,2025-06-10,Running,94.5,Process C,70.2
P-06,2025-06-10,Running,75.5,Process B,49.7
P-07,2025-06-10,Running,93.8,Process C,27.3
P-08,2025-06-10,Running,92.0,Process C,49.9
P-09,2025-06-10,Running,72.5,Process A,34.5
P-10,2025-06-10,Running,87.7,Process C,39.0
P-11,2025-06-10,Running,83.0,Process B,28.0
P-12,2025-06-10,Running,87.7,Process C,68.3
P-01,2025-06-11,Running,66.7,Process B,25.6
P-02,2025-06-11,Running,78.0,Process A,64.7
P-03,2025-06-11,Standby,0,Process B,0
P-04,2025-06-11,Running,92.6,Process C,45.3
P-05,2025-06-11,Running,87.4,Process B,56.3
P-06,2025-06-11,Running,66.7,Process C,19.7
P-07,2025-06-11,Running,71.7,Process B,30.1
P-08,2025-06-11,Running,91.2,Process C,58.1
P-09,2025-06-11,Running,82.0,Process A,48.9
P-10,2025-06-11,Running,81.7,Process B,47.3
P-11,2025-06-11,Running,90.4,Process B,47.5
P-12,2025-06-11,Maintenance,0,Process A,0
P-01,2025-06-12,Running,86.1,Process A,34.1
P-02,2025-06-12,Maintenance,0,Process B,0
P-03,2025-06-12,Running,94.5,Process A,41.7
P-04,2025-06-12,Maintenance,0,Process A,0
P-05,2025-06-12,Running,89.5,Process C,36.9
P-06,2025-06-12,Running,85.3,Process A,51.3
P-07,2025-06-12,Running,92.5,Process A,48.8
P-08,2025-06-12,Running,83.9,Process A,35.5
P-09,2025-06-12,Running,71.6,Process B,69.4
P-10,2025-06-12,Running,96.0,Process A,25.3
P-11,2025-06-12,Running,76.5,Process A,71.6
P-12,2025-06-12,Running,65.1,Process A,31.5
P-01,2025-06-13,Running,93.1,Process C,39.2
P-02,2025-06-13,Running,85.3,Process C,40.4
P-03,2025-06-13,Running,85.3,Process A,39.8
P-04,2025-06-13,Running,87.8,Process B,42.6
P-05,2025-06-13,Running,83.3,Process C,23.0
P-06,2025-06-13,Standby,0,Process C,0
P-07,2025-06-13,Running,74.3,Process A,61.0
P-08,2025-06-13,Running,98.7,Process A,44.7
P-09,2025-06-13,Running,71.3,Process C,49.2
P-10,2025-06-13,Running,79.4,Process B,66.3
P-11,2025-06-13,Running,61.8,Process C,60.3
P-12,2025-06-13,Running,65.0,Process A,41.8
P-01,2025-06-14,Running,98.3,Process A,71.8
P-02,2025-06-14,Standby,0,Process C,0
P-03,2025-06-14,Running,95.0,Process B,23.0
P-04,2025-06-14,Running,63.3,Process C,66.8
P-05,2025-06-14,Running,75.9,Process B,57.2
P-06,2025-06-14,Running,77.2,Process A,56.0
P-07,2025-06-14,Running,79.1,Process A,50.1
P-08,2025-06-14,Running,77.8,Process A,55.6
P-09,2025-06-14,Running,99.5,Process B,55.5
P-10,2025-06-14,Running,69.2,Process A,57.5
P-11,2025-06-14,Running,72.5,Process B,25.4
P-12,2025-06-14,Running,90.1,Process A,52.6
P-01,2025-06-15,Running,62.7,Process C,18.5
P-02,2025-06-15,Running,77.6,Process C,29.5
P-03,2025-06-15,Running,96.8,Process C,55.1
P-04,2025-06-15,Running,63.5,Process A,25.6
P-05,2025-06-15,Running,89.2,Process B,70.0
P-06,2025-06-15,Running,65.6,Process B,52.8
P-07,2025-06-15,Running,84.0,Process C,50.8
P-08,2025-06-15,Running,87.6,Process C,65.3
P-09,2025-06-15,Running,84.3,Process A,58.4
P-10,2025-06-15,Running,62.2,Process A,44.7
P-11,2025-06-15,Running,80.0,Process C,21.8
P-12,2025-06-15,Running,60.5,Process B,68.4
P-01,2025-06-16,Running,94.4,Process C,40.7
P-02,2025-06-16,Running,66.9,Process B,69.5
P-03,2025-06-16,Running,60.7,Process A,18.7
P-04,2025-06-16,Running,96.9,Process B,45.4
P-05,2025-06-16,Running,80.0,Process B,40.9
P-06,2025-06-16,Running,85.6,Process C,51.3
P-07,2025-06-16,Running,72.4,Process C,67.7
P-08,2025-06-16,Standby,0,Process A,0
P-09,2025-06-16,Running,75.6,Process C,59.2
P-10,2025-06-16,Running,85.7,Process B,55.7
P-11,2025-06-16,Running,93.9,Process A,31.2
P-12,2025-06-16,Standby,0,Process A,0
P-01,2025-06-17,Running,84.4,Process B,54.0
P-02,2025-06-17,Running,67.0,Process A,56.2
P-03,2025-06-17,Running,66.6,Process B,46.2
P-04,2025-06-17,Running,88.8,Process A,38.1
P-05,2025-06-17,Running,94.9,Process C,65.9
P-06,2025-06-17,Running,61.2,Process B,32.7
P-07,2025-06-17,Running,88.5,Process C,51.9
P-08,2025-06-17,Running,80.4,Process A,45.0
P-09,2025-06-17,Running,74.7,Process B,59.8
P-10,2025-06-17,Running,87.0,Process A,30.3
P-11,2025-06-17,Running,61.8,Process A,31.2
P-12,2025-06-17,Running,75.3,Process A,27.7
P-01,2025-06-18,Standby,0,Process A,0
P-02,2025-06-18,Running,96.6,Process C,53.4
P-03,2025-06-18,Running,69.9,Process C,35.3
P-04,2025-06-18,Running,82.9,Process A,45.1
P-05,2025-06-18,Standby,0,Process A,0
P-06,2025-06-18,Running,80.6,Process A,69.5
P-07,2025-06-18,Running,78.6,Process B,59.8
P-08,2025-06-18,Running,63.5,Process B,18.4
P-09,2025-06-18,Running,82.6,Process B,57.9
P-10,2025-06-18,Running,74.7,Process B,71.9
P-11,2025-06-18,Running,89.3,Process C,59.1
P-12,2025-06-18,Running,60.3,Process B,19.3
P-01,2025-06-19,Running,85.4,Process C,65.4
P-02,2025-06-19,Standby,0,Process A,0
P-03,2025-06-19,Running,75.1,Process C,57.3
P-04,2025-06-19,Running,81.2,Process A,40.7
P-05,2025-06-19,Standby,0,Process A,0
P-06,2025-06-19,Running,63.7,Process A,66.5
P-07,2025-06-19,Running,88.0,Process B,42.8
P-08,2025-06-19,Running,83.2,Process C,25.2
P-09,2025-06-19,Running,63.0,Process C,21.4
P-10,2025-06-19,Running,65.2,Process B,32.1
P-11,2025-06-19,Running,92.0,Process C,62.9
P-12,2025-06-19,Running,78.1,Process A,22.0
P-01,2025-06-20,Running,91.2,Process C,23.9
P-02,2025-06-20,Running,78.0,Process B,40.0
P-03,2025-06-20,Running,98.6,Process A,42.4
P-04,2025-06-20,Running,94.1,Process A,26.5
P-05,2025-06-20,Running,93.1,Process C,50.6
P-06,2025-06-20,Running,94.3,Process A,22.9
P-07,2025-06-20,Running,74.2,Process C,20.6
P-08,2025-06-20,Running,92.8,Process A,19.7
P-09,2025-06-20,Running,78.1,Process C,47.7
P-10,2025-06-20,Running,64.1,Process A,24.6
P-11,2025-06-20,Running,91.2,Process A,25.1
P-12,2025-06-20,Running,74.9,Process C,68.6
P-01,2025-06-21,Running,83.4,Process A,19.2
P-02,2025-06-21,Running,96.1,Process B,61.7
P-03,2025-06-21,Running,93.9,Process B,24.6
P-04,2025-06-21,Standby,0,Process A,0
P-05,2025-06-21,Running,83.0,Process C,39.3
P-06,2025-06-21,Running,87.3,Process A,37.1
P-07,2025-06-21,Standby,0,Process B,0
P-08,2025-06-21,Running,95.3,Process A,51.2
P-09,2025-06-21,Running,85.9,Process B,40.2
P-10,2025-06-21,Running,62.4,Process B,38.7
P-11,2025-06-21,Running,85.7,Process C,31.5
P-12,2025-06-21,Maintenance,0,Process C,0
P-01,2025-06-22,Running,99.6,Process C,37.4
P-02,2025-06-22,Running,79.4,Process C,45.1
P-03,2025-06-22,Running,67.2,Process B,50.2
P-04,2025-06-22,Running,92.4,Process B,21.2
P-05,2025-06-22,Maintenance,0,Process C,0
P-06,2025-06-22,Running,83.4,Process A,70.6
P-07,2025-06-22,Running,86.3,Process B,46.8
P-08,2025-06-22,Running,89.5,Process A,49.1
P-09,2025-06-22,Maintenance,0,Process B,0
P-10,2025-06-22,Running,93.6,Process A,27.5
P-11,2025-06-22,Running,92.2,Process C,37.4
P-12,2025-06-22,Running,88.1,Process B,69.2
P-01,2025-06-23,Running,82.5,Process A,63.2
P-02,2025-06-23,Running,98.8,Process C,34.7
P-03,2025-06-23,Running,63.6,Process A,50.5
P-04,2025-06-23,Running,79.1,Process B,67.6
P-05,2025-06-23,Running,65.2,Process C,27.6
P-06,2025-06-23,Running,94.7,Process A,19.2
P-07,2025-06-23,Running,96.7,Process A,63.7
P-08,2025-06-23,Running,98.4,Process B,56.0
P-09,2025-06-23,Running,83.4,Process B,34.3
P-10,2025-06-23,Running,66.3,Process B,60.8
P-11,2025-06-23,Standby,0,Process C,0
P-12,2025-06-23,Running,88.3,Process C,55.5
P-01,2025-06-24,Standby,0,Process B,0
P-02,2025-06-24,Running,83.6,Process A,38.4
P-03,2025-06-24,Running,71.8,Process A,57.4
P-04,2025-06-24,Standby,0,Process C,0
P-05,2025-06-24,Running,99.8,Process C,19.7
P-06,2025-06-24,Running,96.8,Process C,29.9
P-07,2025-06-24,Running,97.5,Process A,35.9
P-08,2025-06-24,Running,73.9,Process B,27.1
P-09,2025-06-24,Running,63.5,Process C,54.2
P-10,2025-06-24,Running,73.4,Process A,32.3
P-11,2025-06-24,Running,62.7,Process B,60.5
P-12,2025-06-24,Running,61.9,Process B,57.6
P-01,2025-06-25,Standby,0,Process B,0
P-02,2025-06-25,Running,75.1,Process C,38.3
P-03,2025-06-25,Running,91.5,Process C,53.2
P-04,2025-06-25,Running,66.5,Process A,61.2
P-05,2025-06-25,Running,60.8,Process B,69.4
P-06,2025-06-25,Running,66.8,Process B,26.7
P-07,2025-06-25,Running,97.7,Process A,36.2
P-08,2025-06-25,Maintenance,0,Process B,0
P-09,2025-06-25,Running,77.3,Process C,26.9
P-10,2025-06-25,Running,66.3,Process A,35.9
P-11,2025-06-25,Standby,0,Process B,0
P-12,2025-06-25,Running,88.9,Process C,47.2
P-01,2025-06-26,Running,71.9,Process A,20.7
P-02,2025-06-26,Running,93.6,Process A,20.9
P-03,2025-06-26,Running,63.5,Process C,51.8
P-04,2025-06-26,Running,63.9,Process A,27.2
P-05,2025-06-26,Running,63.3,Process A,34.7
P-06,2025-06-26,Running,79.6,Process C,32.3
P-07,2025-06-26,Running,75.5,Process B,65.8
P-08,2025-06-26,Running,77.8,Process B,41.7
P-09,2025-06-26,Running,93.5,Process C,21.3
P-10,2025-06-26,Running,86.7,Process A,54.1
P-11,2025-06-26,Running,76.6,Process C,30.3
P-12,2025-06-26,Running,75.5,Process C,40.6
P-01,2025-06-27,Running,94.7,Process B,48.9
P-02,2025-06-27,Running,72.0,Process B,66.7
P-03,2025-06-27,Running,80.1,Process C,61.2
P-04,2025-06-27,Running,84.8,Process A,69.3
P-05,2025-06-27,Running,98.0,Process A,70.5
P-06,2025-06-27,Running,65.0,Process B,22.2
P-07,2025-06-27,Running,68.1,Process C,26.0
P-08,2025-06-27,Running,72.8,Process C,67.4
P-09,2025-06-27,Running,75.5,Process B,47.8
P-10,2025-06-27,Running,80.8,Process A,60.5
P-11,2025-06-27,Running,80.9,Process B,24.1
P-12,2025-06-27,Running,82.7,Process C,59.0
P-01,2025-06-28,Standby,0,Process A,0
P-02,2025-06-28,Running,64.0,Process B,64.8
P-03,2025-06-28,Running,95.1,Process B,38.7
P-04,2025-06-28,Running,84.4,Process A,27.3
P-05,2025-06-28,Running,84.7,Process C,55.5
P-06,2025-06-28,Running,95.6,Process B,55.3
P-07,2025-06-28,Running,79.0,Process B,66.4
P-08,2025-06-28,Running,92.7,Process B,34.8
P-09,2025-06-28,Running,94.3,Process C,23.3
P-10,2025-06-28,Running,65.4,Process C,41.9
P-11,2025-06-28,Running,70.8,Process B,50.7
P-12,2025-06-28,Running,77.7,Process B,58.0
P-01,2025-06-29,Running,94.7,Process A,45.8
P-02,2025-06-29,Running,72.4,Process C,39.8
P-03,2025-06-29,Running,81.0,Process C,19.6
P-04,2025-06-29,Running,93.3,Process A,31.5
P-05,2025-06-29,Running,96.7,Process C,28.8
P-06,2025-06-29,Running,78.6,Process B,52.3
P-07,2025-06-29,Running,61.2,Process B,44.4
P-08,2025-06-29,Running,98.4,Process B,49.7
P-09,2025-06-29,Running,66.5,Process B,58.4
P-10,2025-06-29,Running,71.4,Process B,20.7
P-11,2025-06-29,Running,91.2,Process A,64.3
P-12,2025-06-29,Running,87.1,Process B,53.2
P-01,2025-06-30,Running,94.6,Process C,18.5
P-02,2025-06-30,Standby,0,Process C,0
P-03,2025-06-30,Running,92.0,Process A,31.6
P-04,2025-06-30,Running,72.2,Process C,52.7
P-05,2025-06-30,Running,75.1,Process B,42.8
P-06,2025-06-30,Running,72.1,Process C,62.5
P-07,2025-06-30,Running,64.1,Process C,72.0
P-08,2025-06-30,Standby,0,Process B,0
P-09,2025-06-30,Running,83.8,Process B,34.1
P-10,2025-06-30,Running,62.6,Process B,52.6
P-11,2025-06-30,Running,70.4,Process C,69.4
P-12,2025-06-30,Running,67.5,Process C,59.3
P-01,2025-07-01,Running,92.2,Process C,39.8
P-02,2025-07-01,Running,65.6,Process A,53.4
P-03,2025-07-01,Maintenance,0,Process B,0
P-04,2025-07-01,Standby,0,Process B,0
P-05,2025-07-01,Running,61.4,Process C,71.7
P-06,2025-07-01,Running,73.7,Process C,30.0
P-07,2025-07-01,Running,91.4,Process C,37.4
P-08,2025-07-01,Running,66.8,Process C,65.3
P-09,2025-07-01,Running,63.9,Process A,58.0
P-10,2025-07-01,Running,82.4,Process A,69.1
P-11,2025-07-01,Running,86.2,Process A,37.2
P-12,2025-07-01,Running,72.3,Process B,38.1
P-01,2025-07-02,Running,78.6,Process A,43.4
P-02,2025-07-02,Running,83.3,Process C,21.8
P-03,2025-07-02,Running,80.0,Process C,38.6
P-04,2025-07-02,Running,62.2,Process A,25.4
P-05,2025-07-02,Running,76.4,Process C,66.2
P-06,2025-07-02,Maintenance,0,Process A,0
P-07,2025-07-02,Running,88.6,Process A,44.3
P-08,2025-07-02,Running,67.1,Process C,21.1
P-09,2025-07-02,Running,68.4,Process A,49.1
P-10,2025-07-02,Running,91.4,Process A,25.0
P-11,2025-07-02,Running,77.2,Process B,70.1
P-12,2025-07-02,Running,61.5,Process A,57.5
P-01,2025-07-03,Standby,0,Process B,0
P-02,2025-07-03,Running,81.2,Process A,54.5
P-03,2025-07-03,Running,70.0,Process C,65.4
P-04,2025-07-03,Running,64.1,Process C,49.8
P-05,2025-07-03,Running,93.0,Process B,69.2
P-06,2025-07-03,Running,80.8,Process C,36.2
P-07,2025-07-03,Running,99.8,Process B,71.8
P-08,2025-07-03,Running,90.0,Process A,69.2
P-09,2025-07-03,Standby,0,Process B,0
P-10,2025-07-03,Running,69.0,Process A,29.4
P-11,2025-07-03,Running,80.2,Process A,37.8
P-12,2025-07-03,Running,61.5,Process C,31.8
P-01,2025-07-04,Running,61.9,Process A,53.7
P-02,2025-07-04,Running,60.8,Process C,24.3
P-03,2025-07-04,Running,64.9,Process B,43.6
P-04,2025-07-04,Running,87.8,Process C,18.5
P-05,2025-07-04,Running,64.0,Process C,32.6
P-06,2025-07-04,Running,65.5,Process A,45.6
P-07,2025-07-04,Running,71.3,Process A,44.9
P-08,2025-07-04,Running,91.1,Process C,70.5
P-09,2025-07-04,Running,76.4,Process A,20.1
P-10,2025-07-04,Running,68.3,Process B,35.9
P-11,2025-07-04,Running,86.9,Process A,63.1
P-12,2025-07-04,Running,66.0,Process A,60.1
P-01,2025-07-05,Running,88.9,Process B,52.8
P-02,2025-07-05,Running,99.1,Process B,43.1
P-03,2025-07-05,Running,67.0,Process A,64.0
P-04,2025-07-05,Running,87.1,Process B,57.9
P-05,2025-07-05,Running,90.3,Process A,18.5
P-06,2025-07-05,Running,85.9,Process B,37.3
P-07,2025-07-05,Running,84.9,Process C,23.0
P-08,2025-07-05,Running,67.3,Process B,39.6
P-09,2025-07-05,Running,93.4,Process C,63.9
P-10,2025-07-05,Running,86.0,Process A,24.1
P-11,2025-07-05,Running,62.3,Process A,23.6
P-12,2025-07-05,Standby,0,Process B,0
P-01,2025-07-06,Running,87.1,Process A,51.0
P-02,2025-07-06,Running,84.5,Process C,65.5
P-03,2025-07-06,Running,95.7,Process B,67.7
P-04,2025-07-06,Running,76.5,Process A,21.4
P-05,2025-07-06,Running,60.5,Process C,46.3
P-06,2025-07-06,Running,89.0,Process A,70.8
P-07,2025-07-06,Running,73.5,Process C,55.2
P-08,2025-07-06,Running,77.3,Process C,31.4
P-09,2025-07-06,Running,87.1,Process B,26.0
P-10,2025-07-06,Running,95.7,Process C,20.9
P-11,2025-07-06,Running,66.3,Process B,64.0
P-12,2025-07-06,Running,63.0,Process B,35.3
P-01,2025-07-07,Running,71.1,Process C,30.0
P-02,2025-07-07,Running,76.1,Process A,22.3
P-03,2025-07-07,Running,82.9,Process A,64.3
P-04,2025-07-07,Running,64.7,Process B,58.2
P-05,2025-07-07,Running,76.1,Process A,48.1
P-06,2025-07-07,Running,63.6,Process C,70.0
P-07,2025-07-07,Running,95.6,Process C,29.2
P-08,2025-07-07,Running,98.0,Process B,62.6
P-09,2025-07-07,Running,93.8,Process B,48.2
P-10,2025-07-07,Running,78.9,Process C,37.6
P-11,2025-07-07,Running,63.9,Process C,30.0
P-12,2025-07-07,Running,93.2,Process B,47.6
P-01,2025-07-08,Running,64.3,Process A,44.6
P-02,2025-07-08,Running,89.7,Process B,23.8
P-03,2025-07-08,Running,67.5,Process B,29.6
P-04,2025-07-08,Running,67.6,Process B,23.8
P-05,2025-07-08,Running,97.1,Process C,49.8
P-06,2025-07-08,Running,78.0,Process C,49.8
P-07,2025-07-08,Running,98.6,Process A,46.6
P-08,2025-07-08,Running,97.4,Process C,44.1
P-09,2025-07-08,Running,96.8,Process A,55.4
P-10,2025-07-08,Running,92.6,Process A,38.9
P-11,2025-07-08,Running,95.3,Process C,65.6
P-12,2025-07-08,Running,84.4,Process C,59.2
P-01,2025-07-09,Running,98.5,Process B,42.5
P-02,2025-07-09,Running,76.5,Process C,65.9
P-03,2025-07-09,Running,93.7,Process C,64.5
P-04,2025-07-09,Running,97.4,Process C,29.7
P-05,2025-07-09,Running,88.6,Process C,36.6
P-06,2025-07-09,Running,99.3,Process C,70.7
P-07,2025-07-09,Running,81.7,Process C,35.4
P-08,2025-07-09,Running,74.1,Process B,49.5
P-09,2025-07-09,Standby,0,Process C,0
P-10,2025-07-09,Running,89.9,Process C,33.4
P-11,2025-07-09,Running,92.3,Process C,23.7
P-12,2025-07-09,Running,62.1,Process A,28.8
P-01,2025-07-10,Running,66.4,Process B,54.9
P-02,2025-07-10,Running,62.5,Process B,29.0
P-03,2025-07-10,Running,74.3,Process B,23.5
P-04,2025-07-10,Running,89.6,Process A,58.1
P-05,2025-07-10,Running,69.5,Process C,33.5
P-06,2025-07-10,Running,97.1,Process B,40.5
P-07,2025-07-10,Running,87.4,Process C,20.9
P-08,2025-07-10,Running,68.1,Process B,62.8
P-09,2025-07-10,Standby,0,Process C,0
P-10,2025-07-10,Running,74.7,Process C,47.5
P-11,2025-07-10,Running,91.0,Process A,33.9
P-12,2025-07-10,Running,87.3,Process A,70.0
P-01,2025-07-11,Running,64.8,Process A,41.1
P-02,2025-07-11,Running,65.2,Process C,63.7
P-03,2025-07-11,Running,78.7,Process A,20.2
P-04,2025-07-11,Standby,0,Process C,0
P-05,2025-07-11,Running,97.3,Process C,63.5
P-06,2025-07-11,Running,91.6,Process C,37.3
P-07,2025-07-11,Running,72.7,Process A,69.7
P-08,2025-07-11,Running,91.5,Process A,40.5
P-09,2025-07-11,Running,63.7,Process A,65.7
P-10,2025-07-11,Running,73.2,Process B,29.8
P-11,2025-07-11,Running,81.2,Process C,62.5
P-12,2025-07-11,Maintenance,0,Process A,0
P-01,2025-07-12,Running,73.8,Process A,66.8
P-02,2025-07-12,Running,84.8,Process A,54.9
P-03,2025-07-12,Running,96.6,Process A,38.8
P-04,2025-07-12,Running,71.3,Process C,62.4
P-05,2025-07-12,Running,92.1,Process B,44.3
P-06,2025-07-12,Running,86.1,Process B,45.8
P-07,2025-07-12,Standby,0,Process A,0
P-08,2025-07-12,Standby,0,Process C,0
P-09,2025-07-12,Running,85.1,Process A,54.2
P-10,2025-07-12,Running,94.6,Process B,63.1
P-11,2025-07-12,Running,93.1,Process C,59.9
P-12,2025-07-12,Running,97.6,Process C,55.0
P-01,2025-07-13,Running,88.7,Process A,22.7
P-02,2025-07-13,Running,91.8,Process C,21.8
P-03,2025-07-13,Running,96.4,Process B,39.0
P-04,2025-07-13,Running,77.3,Process A,39.0
P-05,2025-07-13,Running,60.2,Process C,51.4
P-06,2025-07-13,Running,83.4,Process C,63.8
P-07,2025-07-13,Running,80.1,Process B,60.5
P-08,2025-07-13,Running,63.5,Process B,38.6
P-09,2025-07-13,Running,61.2,Process A,46.8
P-10,2025-07-13,Running,75.6,Process C,33.9
P-11,2025-07-13,Running,71.9,Process C,53.0
P-12,2025-07-13,Standby,0,Process A,0
P-01,2025-07-14,Running,82.2,Process A,20.3
P-02,2025-07-14,Running,75.8,Process C,69.1
P-03,2025-07-14,Running,89.9,Process C,36.6
P-04,2025-07-14,Running,85.8,Process C,25.7
P-05,2025-07-14,Running,84.7,Process B,28.5
P-06,2025-07-14,Running,92.0,Process A,64.0
P-07,2025-07-14,Standby,0,Process C,0
P-08,2025-07-14,Running,82.0,Process B,54.3
P-09,2025-07-14,Running,67.9,Process C,44.3
P-10,2025-07-14,Running,65.1,Process C,30.7
P-11,2025-07-14,Running,62.8,Process A,35.2
P-12,2025-07-14,Running,84.7,Process B,55.4
P-01,2025-07-15,Running,82.7,Process B,69.8
P-02,2025-07-15,Running,72.5,Process A,56.5
P-03,2025-07-15,Running,71.1,Process B,25.3
P-04,2025-07-15,Running,95.1,Process B,42.0
P-05,2025-07-15,Running,79.5,Process A,27.5
P-06,2025-07-15,Running,93.7,Process A,66.1
P-07,2025-07-15,Running,89.3,Process C,22.1
P-08,2025-07-15,Running,60.7,Process C,52.1
P-09,2025-07-15,Running,83.2,Process C,29.5
P-10,2025-07-15,Running,70.4,Process C,43.5
P-11,2025-07-15,Running,74.6,Process A,66.1
P-12,2025-07-15,Running,94.3,Process A,43.1
P-01,2025-07-16,Running,75.9,Process C,18.6
