pump_id,month,maintenance_cost_usd,energy_cost_usd,parts_cost_usd,total_cost_usd
P-12,2024-03,4825.96,1739.37,917.46,7482.79
P-01,2024-04,3556.52,4471.14,1.93,8029.59
P-02,2024-04,2161.18,3075.98,849.8,6086.96
P-03,2024-04,6900.28,4493.97,2306.66,13700.91
P-04,2024-04,1409.29,1887.02,812.01,4108.32
P-05,2024-04,7968.13,2385.27,1755.67,12109.07
P-06,2024-04,829.6,2484.86,1419.53,4733.99
P-07,2024-04,2966.13,5152.69,1911.13,10029.95
P-08,2024-04,3495.99,5851.08,294.42,9641.49
P-09,2024-04,2237.84,2859.1,932.21,6029.15
P-10,2024-04,4598.48,4555.15,967.44,10121.07
P-11,2024-04,4709.71,4574.95,598.52,9883.18
P-12,2024-04,1258.39,3994.28,903.19,6155.86
P-01,2024-05,867.66,4049.99,1884.96,6802.61
P-02,2024-05,4457.48,3191.85,2627.76,10277.09
P-03,2024-05,3607.76,2123.74,1325.7,7057.2
P-04,2024-05,2643.43,5706.96,2137.8,10488.19
P-05,2024-05,3853.36,3424.51,1261.52,8539.39
P-06,2024-05,3400.02,1624.53,1676.73,6701.28
P-07,2024-05,7668.44,3394.13,2267.57,13330.14
P-08,2024-05,4998.63,2860.75,727.94,8587.32
P-09,2024-05,4195.21,2072.74,1629.81,7897.76
P-10,2024-05,4611.48,2820.04,2266.01,9697.53
P-11,2024-05,3262.74,3313.24,17.86,6593.84
P-12,2024-05,6498.35,5437.1,1380.66,13316.11
P-01,2024-06,623.9,1746.12,2489.68,4859.7
P-02,2024-06,5269.06,3000.68,292.2,8561.94
P-03,2024-06,2466.5,3666.61,993.92,7127.03
P-04,2024-06,674.75,4832.13,2023.24,7530.12
P-05,2024-06,5967.03,1738.59,615.19,8320.81
P-06,2024-06,1324.38,4831.91,1485.91,7642.2
P-07,2024-06,1943.64,4540.56,2556.77,9040.97
P-08,2024-06,2546.96,2899.01,2967.48,8413.45
P-09,2024-06,250.32,3682.3,2063.32,5995.94
P-10,2024-06,1094.73,1500.16,1811.37,4406.26
P-11,2024-06,1144.07,1935.89,612.88,3692.84
P-12,2024-06,3895.19,5247.27,1331.45,10473.91
P-01,2024-07,634.09,2048.15,1213.67,3895.91
P-02,2024-07,7865.03,5191.22,2525.16,15581.41
P-03,2024-07,4464.41,5197.59,2043.96,11705.96
P-04,2024-07,6902.65,4277.21,1297.06,12476.92
P-05,2024-07,5162.34,2331.64,2455.65,9949.63
P-06,2024-07,5328.23,2268.49,2224.99,9821.71
P-07,2024-07,4464.11,3642.71,870.11,8976.93
P-08,2024-07,5406.78,5815.91,1478.89,12701.58
P-09,2024-07,5408.06,3260.35,2092.96,10761.37
P-10,2024-07,1037.22,3376.03,1274.5,5687.75
P-11,2024-07,418.17,3556.87,1692.63,5667.67
P-12,2024-07,285.95,2862.43,1935.33,5083.71
P-01,2024-08,7167.12,4289.44,127.9,11584.46
P-02,2024-08,7275.06,5832.58,1403.72,14511.36
P-03,2024-08,5839.91,2746.07,2945.26,11531.24
P-04,2024-08,2990.43,5351.28,1509.62,9851.33
P-05,2024-08,2920.91,4678.01,1171.87,8770.79
P-06,2024-08,689.57,4451.64,1055.6,6196.81
P-07,2024-08,5809.83,3026.81,2145.55,10982.19
P-08,2024-08,6336.24,2752.53,2287.82,11376.59
P-09,2024-08,2562.85,3272.68,2748.48,8584.01
P-10,2024-08,5232.05,3194.35,1415.26,9841.66
P-11,2024-08,5339.98,4092.18,2782.24,12214.4
P-12,2024-08,6248.1,3864.45,388.27,10500.82
P-01,2024-09,2727.8,5798.38,1044.29,9570.47
P-02,2024-09,5016.31,3316.98,134.79,8468.08
P-03,2024-09,6845.84,2216.31,289.62,9351.77
P-04,2024-09,1028.52,5704.05,1429.24,8161.81
P-05,2024-09,6127.29,5915.98,2425.67,14468.94
P-06,2024-09,5914.65,2564.78,2699.38,11178.81
P-07,2024-09,1557.18,5516.13,2267.44,9340.75
P-08,2024-09,3476.44,1789.66,1835.71,7101.81
P-09,2024-09,1092.9,5310.61,218.65,6622.16
P-10,2024-09,6154.15,4229.4,2522.04,12905.59
P-11,2024-09,7403.7,2945.22,2096.18,12445.1
P-12,2024-09,3145.51,5949.92,1721.34,10816.77
P-01,2024-10,1757.93,2636.23,1312.54,5706.7
P-02,2024-10,2431.5,2405.37,486.27,5323.14
P-03,2024-10,6547.93,5139.02,576.89,12263.84
P-04,2024-10,4740.44,4331.02,2005.97,11077.43
P-05,2024-10,1787.61,5145.04,2679.87,9612.52
P-06,2024-10,3004.58,3336.12,1639.74,7980.44
P-07,2024-10,761.33,2333.87,2189.93,5285.13
P-08,2024-10,7305.71,4390.05,1488.53,13184.29
P-09,2024-10,6692.74,4066.67,1421.2,12180.61
P-10,2024-10,2946.43,4283.15,1676.09,8905.67
P-11,2024-10,1275.41,1802.2,1282.54,4360.15
P-12,2024-10,3133.72,1818.9,234.43,5187.05
P-01,2024-11,6302.62,2842.02,353.78,9498.42
P-02,2024-11,1998.47,4206.7,992.76,7197.93
P-03,2024-11,1947.37,5732.78,2766.82,10446.97
P-04,2024-11,2160.78,4664.73,203.86,7029.37
P-05,2024-11,6997.49,5856.52,224.33,13078.34
P-06,2024-11,4687.78,5339.38,2795.43,12822.59
P-07,2024-11,4100.37,3296.49,169.94,7566.8
P-08,2024-11,5640.64,1998.94,1412.94,9052.52
P-09,2024-11,7355.65,2683.74,89.93,10129.32
P-10,2024-11,2836.75,2673.96,1003.62,6514.33
P-11,2024-11,6164.94,2126.8,1641.26,9933.0
P-12,2024-11,5924.21,5658.78,1990.01,13573.0
P-01,2024-12,7050.51,2560.28,218.74,9829.53
P-02,2024-12,7594.38,5569.46,2109.27,15273.11
P-03,2024-12,6171.48,1659.13,2943.17,10773.78
P-04,2024-12,7609.28,4191.66,1837.3,13638.24
P-05,2024-12,828.63,3981.41,2839.8,7649.84
P-06,2024-12,2309.97,1687.83,106.8,4104.6
P-07,2024-12,4159.31,4426.52,1294.55,9880.38
P-08,2024-12,2566.66,5324.25,2914.4,10805.31
P-09,2024-12,367.26,1749.1,2320.84,4437.2
P-10,2024-12,6528.63,3903.84,2580.88,13013.35
P-11,2024-12,5519.14,4820.66,1657.49,11997.29
P-12,2024-12,606.7,4945.57,2086.32,7638.59
P-01,2025-01,3551.81,3420.75,413.31,7385.87
P-02,2025-01,3616.03,5537.16,2947.6,12100.79
P-03,2025-01,3068.13,2371.41,1309.57,6749.11
P-04,2025-01,651.8,2544.15,1765.85,4961.8
P-05,2025-01,1971.58,4863.64,2665.01,9500.23
P-06,2025-01,6386.81,4056.22,2972.82,13415.85
P-07,2025-01,316.21,4739.22,2437.87,7493.3
P-08,2025-01,797.57,2070.22,541.78,3409.57
P-09,2025-01,541.01,3073.5,1965.63,5580.14
P-10,2025-01,2105.11,2815.86,1818.37,6739.34
P-11,2025-01,3933.87,2050.69,230.41,6214.97
P-12,2025-01,2151.55,3946.41,1484.79,7582.75
P-01,2025-02,5934.71,3106.31,2745.3,11786.32
P-02,2025-02,1918.24,4709.1,2824.28,9451.62
P-03,2025-02,6285.63,2817.08,1960.93,11063.64
P-04,2025-02,4309.38,2703.91,2093.32,9106.61
P-05,2025-02,4126.87,1742.99,2701.28,8571.14
P-06,2025-02,5702.91,4298.42,839.35,10840.68
P-07,2025-02,1787.73,2117.09,2927.82,6832.64
P-08,2025-02,1998.18,4838.59,632.31,7469.08
P-09,2025-02,3104.64,5173.71,425.88,8704.23
P-10,2025-02,7827.7,4642.54,1949.72,14419.96
P-11,2025-02,3739.35,2014.07,1496.72,7250.14
P-12,2025-02,463.3,2750.85,1152.53,4366.68
P-01,2025-03,6652.0,1880.22,837.28,9369.5
P-02,2025-03,4956.03,3729.11,2588.32,11273.46
P-03,2025-03,3200.37,1699.87,617.19,5517.43
P-04,2025-03,1638.53,3439.88,156.78,5235.19
P-05,2025-03,2580.15,3936.97,1043.41,7560.53
P-06,2025-03,402.74,4239.33,2679.51,7321.58
P-07,2025-03,7397.05,5583.52,2430.73,15411.3
P-08,2025-03,4809.48,4907.63,1022.83,10739.94
P-09,2025-03,6668.07,3453.34,1282.65,11404.06
P-10,2025-03,5887.96,4809.37,171.36,10868.69
P-11,2025-03,1051.84,3246.5,2163.89,6462.23
P-12,2025-03,5488.16,5363.31,2813.93,13665.4
P-01,2025-04,3815.32,4076.71,1704.91,9596.94
P-02,2025-04,4247.52,2231.47,1143.87,7622.86
P-03,2025-04,6015.94,5660.98,395.62,12072.54
P-04,2025-04,318.43,5098.15,2852.9,8269.48
P-05,2025-04,867.19,2624.7,1628.41,5120.3
P-06,2025-04,2832.75,3275.71,1846.64,7955.1
P-07,2025-04,3021.22,4466.53,2347.28,9835.03
P-08,2025-04,6520.02,4236.0,372.92,11128.94
P-09,2025-04,4633.84,2944.45,793.55,8371.84
P-10,2025-04,1594.52,3582.26,1319.73,6496.51
P-11,2025-04,3838.23,5846.48,1440.62,11125.33
P-12,2025-04,6785.74,2480.29,175.75,9441.78
P-01,2025-05,7522.91,2744.01,1830.99,12097.91
P-02,2025-05,2649.41,1788.2,539.41,4977.02
P-03,2025-05,6174.62,2742.65,2607.17,11524.44
P-04,2025-05,1192.34,4336.52,440.71,5969.57
P-05,2025-05,5020.0,1723.11,343.34,7086.45
P-06,2025-05,500.31,4579.99,2581.71,7662.01
P-07,2025-05,4723.15,1688.8,2152.07,8564.02
P-08,2025-05,674.34,4715.47,777.16,6166.97
P-09,2025-05,2208.07,4552.75,2572.47,9333.29
P-10,2025-05,2956.01,4732.44,1801.74,9490.19
P-11,2025-05,2927.89,1848.66,1331.44,6107.99
P-12,2025-05,4186.08,2566.4,977.37,7729.85
P-01,2025-06,3096.6,5202.12,1247.91,9546.63
P-02,2025-06,5206.72,5441.34,429.24,11077.3
P-03,2025-06,2747.02,5046.74,1004.96,8798.72
P-04,2025-06,3383.47,4433.9,1412.06,9229.43
P-05,2025-06,7793.31,4298.62,480.94,12572.87
P-06,2025-06,547.96,5686.39,2735.62,8969.97
P-07,2025-06,399.18,4240.67,2424.1,7063.95
P-08,2025-06,4184.21,5013.93,1524.55,10722.69
P-09,2025-06,4735.59,3048.24,644.61,8428.44
P-10,2025-06,6679.67,1646.7,2178.78,10505.15
P-11,2025-06,3172.5,5990.19,235.33,9398.02
P-12,2025-06,803.03,5709.83,673.74,7186.6
P-01,2025-07,4127.27,4084.98,1644.7,9856.95
P-02,2025-07,3461.02,4798.71,2542.79,10802.52
P-03,2025-07,4316.5,1731.44,1416.99,7464.93
P-04,2025-07,4290.69,3484.58,807.55,8582.82
P-05,2025-07,6720.87,2818.79,732.09,10271.75
P-06,2025-07,2095.97,4954.4,1085.89,8136.26
P-07,2025-07,3755.41,4866.85,346.25,8968.51
P-08,2025-07,2080.16,4797.59,2640.68,9518.43
P-09,2025-07,3022.67,3083.93,1516.93,7623.53
P-10,2025-07,7334.16,4439.98,1815.66,13589.8
P-11,2025-07,3701.95,3384.83,1708.03,8794.81
P-12,2025-07,6648.91,2063.77,1612.85,10325.53
P-01,2025-08,6256.3,3334.28,1754.27,11344.85
P-02,2025-08,1277.49,2671.26,860.66,4809.41
P-03,2025-08,2647.99,1866.78,1263.07,5777.84
P-04,2025-08,7869.33,4092.05,1897.89,13859.27
P-05,2025-08,6226.63,5549.43,2629.22,14405.28
P-06,2025-08,321.0,2043.55,790.13,3154.68
P-07,2025-08,4525.71,5685.56,2228.56,12439.83
P-08,2025-08,1185.9,1653.34,1294.26,4133.5
P-09,2025-08,5582.36,5954.7,397.13,11934.19
P-10,2025-08,6961.66,5633.8,2712.78,15308.24
P-11,2025-08,2964.07,3310.43,1670.82,7945.32
P-12,2025-08,5753.47,2035.63,2692.28,10481.38
P-01,2025-09,7207.16,4161.65,1849.89,13218.7
P-02,2025-09,7954.25,1703.57,2216.25,11874.07
P-03,2025-09,2968.67,3520.03,1226.62,7715.32
P-04,2025-09,3708.08,5256.62,867.87,9832.57
P-05,2025-09,3921.43,2105.72,550.35,6577.5
P-06,2025-09,6174.45,5623.54,2809.86,14607.85
P-07,2025-09,853.56,5530.2,1780.66,8164.42
P-08,2025-09,3085.02,4422.32,1138.12,8645.46
P-09,2025-09,3620.98,3789.0,1764.24,9174.22
P-10,2025-09,7569.19,1936.04,892.05,10397.28
P-11,2025-09,2860.71,4038.59,2691.9,9591.2
P-12,2025-09,4722.66,5298.29,1280.07,11301.02
P-01,2025-10,2717.84,2933.6,535.25,6186.69
P-02,2025-10,1316.93,5162.94,2203.88,8683.75
P-03,2025-10,7915.8,2448.06,1557.4,11921.26
P-04,2025-10,4686.08,4269.65,298.4,9254.13
P-05,2025-10,2421.37,2033.48,821.55,5276.4
P-06,2025-10,3623.55,5484.07,865.44,9973.06
P-07,2025-10,7358.01,5949.63,2260.41,15568.05
P-08,2025-10,7411.22,4498.95,423.01,12333.18
P-09,2025-10,1813.38,5274.55,2264.59,9352.52
P-10,2025-10,413.33,5561.44,2879.57,8854.34
P-11,2025-10,4410.67,5095.46,20.0,9526.13
P-12,2025-10,6693.54,1616.0,609.42,8918.96
P-01,2025-11,7546.09,4070.24,2196.27,13812.6
P-02,2025-11,4262.97,5239.67,884.82,10387.46
P-03,2025-11,1055.0,4678.45,2534.23,8267.68
P-04,2025-11,3666.36,3445.2,789.17,7900.73
P-05,2025-11,6943.12,5968.85,2194.9,15106.87
P-06,2025-11,1108.41,3091.75,237.2,4437.36
P-07,2025-11,6387.9,4773.13,981.35,12142.38
P-08,2025-11,4155.07,2742.49,1891.87,8789.43
P-09,2025-11,4200.18,4996.71,2120.43,11317.32
P-10,2025-11,2655.52,5661.28,1300.13,9616.93
P-11,2025-11,7472.47,5073.89,952.58,13498.94
P-12,2025-11,6763.16,4475.09,2632.72,13870.97
