alarm_id,pump_id,timestamp,alarm_type,severity,trigger_value,duration_minutes,acknowledged
ALM-00136,P-11,2025-07-29T10:00:00,Motor Overcurrent,Alarm,58.1,8.4,Yes
ALM-00137,P-11,2025-08-30T08:00:00,High Discharge Pressure,Alarm,99.8,75.6,Yes
ALM-00138,P-11,2025-09-07T20:00:00,Seal Leak Detected,Alarm,90.6,44.8,Yes
ALM-00139,P-02,2025-11-02T19:00:00,High Vibration,Warning,70.4,79.7,Yes
ALM-00140,P-06,2025-07-20T00:00:00,Motor Overcurrent,Critical,89.9,177.9,Yes
ALM-00141,P-09,2025-10-05T11:00:00,High Bearing Temp,Warning,95.0,44.3,No
ALM-00142,P-02,2025-07-19T02:00:00,High Vibration,Warning,91.8,170.2,Yes
ALM-00143,P-06,2025-07-25T12:00:00,Motor Overcurrent,Warning,101.5,137.6,Yes
ALM-00144,P-05,2025-11-18T05:00:00,Cavitation Detected,Warning,95.7,17.1,Yes
ALM-00145,P-04,2025-08-22T04:00:00,Motor Overcurrent,Warning,138.2,10.0,Yes
ALM-00146,P-05,2025-11-08T15:00:00,High Vibration,Warning,122.8,78.1,Yes
ALM-00147,P-06,2025-10-16T15:00:00,High Vibration,Alarm,86.3,10.2,Yes
ALM-00148,P-02,2025-09-07T12:00:00,Flow Deviation,Alarm,132.5,81.6,Yes
ALM-00149,P-03,2025-07-11T13:00:00,High Bearing Temp,Alarm,105.8,67.8,Yes
ALM-00150,P-03,2025-10-03T19:00:00,High Discharge Pressure,Alarm,54.5,92.1,Yes
ALM-00151,P-12,2025-07-17T18:00:00,Motor Overcurrent,Alarm,139.3,94.0,No
ALM-00152,P-06,2025-07-18T17:00:00,Motor Overcurrent,Warning,134.3,71.3,Yes
ALM-00153,P-09,2025-09-23T19:00:00,Cavitation Detected,Critical,51.7,101.8,Yes
ALM-00154,P-11,2025-09-22T01:00:00,High Bearing Temp,Alarm,122.5,105.5,Yes
ALM-00155,P-10,2025-06-10T02:00:00,Cavitation Detected,Warning,127.6,174.1,Yes
ALM-00156,P-12,2025-08-17T16:00:00,High Vibration,Alarm,122.1,87.0,Yes
ALM-00157,P-03,2025-10-08T18:00:00,High Discharge Pressure,Warning,69.1,103.5,Yes
ALM-00158,P-06,2025-10-29T12:00:00,Flow Deviation,Warning,100.2,74.9,Yes
ALM-00159,P-12,2025-11-08T23:00:00,High Vibration,Critical,82.5,25.7,Yes
ALM-00160,P-09,2025-11-11T06:00:00,Flow Deviation,Warning,103.3,172.2,Yes
ALM-00161,P-11,2025-09-29T22:00:00,Seal Leak Detected,Alarm,77.9,87.7,Yes
ALM-00162,P-04,2025-09-10T21:00:00,Seal Leak Detected,Warning,98.9,127.2,Yes
ALM-00163,P-06,2025-11-11T18:00:00,Seal Leak Detected,Warning,88.0,22.8,Yes
ALM-00164,P-06,2025-10-13T16:00:00,Low Suction Pressure,Warning,57.9,8.5,Yes
ALM-00165,P-11,2025-10-29T23:00:00,Seal Leak Detected,Critical,103.9,86.8,Yes
ALM-00166,P-03,2025-09-01T17:00:00,High Bearing Temp,Alarm,55.1,133.6,Yes
ALM-00167,P-11,2025-08-17T00:00:00,High Discharge Pressure,Warning,97.2,18.9,Yes
ALM-00168,P-01,2025-07-17T22:00:00,Low Suction Pressure,Alarm,97.6,117.9,Yes
ALM-00169,P-05,2025-08-08T01:00:00,Motor Overcurrent,Warning,58.9,116.6,Yes
ALM-00170,P-09,2025-08-19T06:00:00,High Vibration,Warning,143.4,75.8,Yes
ALM-00171,P-07,2025-06-13T09:00:00,Cavitation Detected,Warning,142.6,168.7,Yes
ALM-00172,P-01,2025-06-13T18:00:00,Seal Leak Detected,Alarm,83.5,108.9,Yes
ALM-00173,P-11,2025-11-03T02:00:00,Cavitation Detected,Warning,69.3,153.3,Yes
ALM-00174,P-06,2025-07-09T10:00:00,Low Suction Pressure,Critical,68.6,83.1,Yes
ALM-00175,P-05,2025-09-24T01:00:00,High Discharge Pressure,Warning,90.5,110.4,Yes
ALM-00176,P-09,2025-10-24T23:00:00,Motor Overcurrent,Warning,148.2,72.7,No
ALM-00177,P-06,2025-11-10T23:00:00,High Discharge Pressure,Warning,125.4,47.7,Yes
ALM-00178,P-05,2025-09-21T12:00:00,High Vibration,Warning,56.2,118.0,Yes
ALM-00179,P-08,2025-07-11T08:00:00,Seal Leak Detected,Warning,139.5,73.6,Yes
ALM-00180,P-12,2025-09-15T03:00:00,High Bearing Temp,Critical,111.5,165.0,Yes
ALM-00181,P-03,2025-08-14T19:00:00,Cavitation Detected,Warning,87.4,82.4,Yes
ALM-00182,P-09,2025-11-08T17:00:00,High Discharge Pressure,Warning,128.7,122.8,Yes
ALM-00183,P-08,2025-11-27T08:00:00,Motor Overcurrent,Warning,132.9,165.2,No
ALM-00184,P-04,2025-11-20T12:00:00,Low Suction Pressure,Warning,61.6,59.7,Yes
ALM-00185,P-12,2025-08-10T02:00:00,Cavitation Detected,Warning,55.6,161.9,Yes
ALM-00186,P-09,2025-07-16T00:00:00,Flow Deviation,Alarm,117.3,101.9,Yes
ALM-00187,P-12,2025-09-14T04:00:00,High Vibration,Alarm,71.8,46.5,No
ALM-00188,P-01,2025-06-25T22:00:00,Flow Deviation,Warning,56.0,126.4,Yes
ALM-00189,P-08,2025-06-24T13:00:00,High Vibration,Warning,126.6,74.2,Yes
ALM-00190,P-06,2025-10-22T11:00:00,Flow Deviation,Alarm,87.6,156.7,Yes
ALM-00191,P-11,2025-07-16T09:00:00,Motor Overcurrent,Warning,102.9,32.9,Yes
ALM-00192,P-01,2025-08-16T00:00:00,High Vibration,Warning,92.4,83.9,Yes
ALM-00193,P-04,2025-10-08T11:00:00,High Discharge Pressure,Alarm,143.7,63.0,Yes
ALM-00194,P-01,2025-07-09T12:00:00,Flow Deviation,Alarm,51.6,138.1,Yes
ALM-00195,P-02,2025-08-10T08:00:00,High Bearing Temp,Alarm,120.3,7.0,Yes
ALM-00196,P-04,2025-06-17T14:00:00,High Vibration,Alarm,125.4,79.6,Yes
ALM-00197,P-03,2025-06-20T06:00:00,Seal Leak Detected,Warning,81.9,147.0,Yes
ALM-00198,P-04,2025-09-18T10:00:00,Seal Leak Detected,Warning,91.4,177.4,Yes
ALM-00199,P-01,2025-09-02T22:00:00,Low Suction Pressure,Critical,54.7,122.5,Yes
ALM-00200,P-11,2025-09-26T13:00:00,Flow Deviation,Alarm,64.9,58.1,Yes
